Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14530903,2021-07-13 16:16:14,2021-05-15 08:17:50,4632349,1398969398,4632349,302,471,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530903/SRR14530903.lite.1,SRX10875434,SJ_10_07_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969074,SAMN19167990,simple,527639,wastewater metagenome,SJ_10_07_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,A3D2B30D1EF9BBECED76AFEA0ACB0D95,0AA7026715045486AE5AA2FE987FA38B
SRR14530902,2021-07-13 16:16:14,2021-05-15 08:18:15,5260005,1588521510,5260005,302,533,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530902/SRR14530902.lite.1,SRX10875435,SJ_10_14_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969075,SAMN19167991,simple,527639,wastewater metagenome,SJ_10_14_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,416325A67492833B44F23A15D020C9A0,BB69D0B3E5A7E31A644840C9CABBA068
SRR14530901,2021-07-13 16:16:14,2021-05-15 08:16:43,4192507,1266137114,4192507,302,437,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530901/SRR14530901.lite.1,SRX10875436,SJ_10_21_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969076,SAMN19167992,simple,527639,wastewater metagenome,SJ_10_21_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,825B2B29460B7C8F8DC6814EC75C9EBD,E8BCAE5868E26A36861B8D6768E5B340
SRR14530900,2021-07-13 16:16:14,2021-05-15 08:17:19,4604124,1390445448,4604124,302,472,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530900/SRR14530900.lite.1,SRX10875437,SJ_10_28_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969077,SAMN19167993,simple,527639,wastewater metagenome,SJ_10_28_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,F3699C8FB9DAADAC34086156F689928B,6460FEDD3AFB1B74BB33DB79303167DD
SRR14530899,2021-07-13 16:16:14,2021-05-15 08:16:40,3241686,978989172,3241686,302,328,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530899/SRR14530899.lite.1,SRX10875438,SJ_8_12_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969078,SAMN19167994,simple,527639,wastewater metagenome,SJ_8_12_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,C8C59A612C775B4029DEB7066418690F,8DBE583EAA911D9802799A6C2E57C13F
SRR14530894,2021-07-13 16:16:14,2021-05-15 08:17:01,4599945,1389183390,4599945,302,434,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530894/SRR14530894.lite.1,SRX10875443,JW_10_27_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969083,SAMN19167900,simple,527639,wastewater metagenome,JW_10_27_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,CF192EE34EDEA685E6F8DC8D77615C2D,28943620E753869D070B1AF385545CA9
SRR14530898,2021-07-13 16:16:14,2021-05-15 08:16:11,3011011,909325322,3011011,302,306,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530898/SRR14530898.lite.1,SRX10875439,SJ_8_19_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969079,SAMN19167995,simple,527639,wastewater metagenome,SJ_8_19_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,16B0FC7BCDB582A6C6905A466C20B660,C25D2F380DE8D8AD1654D1AE5D1412F7
SRR14530897,2021-07-13 16:16:14,2021-05-15 08:16:01,3108434,938747068,3108434,302,314,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530897/SRR14530897.lite.1,SRX10875440,SJ_8_26_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969080,SAMN19167996,simple,527639,wastewater metagenome,SJ_8_26_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,08E8D348710861E718F7C7C315696E4C,F421B4BFF2B894F5625375589389EDFC
SRR14530896,2021-07-13 16:16:14,2021-05-15 08:15:57,3041921,918660142,3041921,302,312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530896/SRR14530896.lite.1,SRX10875441,SJ_9_02_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969081,SAMN19167997,simple,527639,wastewater metagenome,SJ_9_02_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,6F6B13E278C3BBD980331A305D4A90C1,1CA0271589432DEE24ED3A8C22ADEA4C
SRR14530895,2021-07-13 16:16:14,2021-05-15 08:16:03,3184286,961654372,3184286,302,318,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530895/SRR14530895.lite.1,SRX10875442,SJ_9_09_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969082,SAMN19167998,simple,527639,wastewater metagenome,SJ_9_09_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,9A91C8F05B69D1E652938C8AC22C7C21,35405EC04A3D59A23F31B2B13978C89E
