Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14530889,2021-07-13 16:16:14,2021-05-15 08:18:52,11045877,2231267154,11045877,202,633,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530889/SRR14530889.lite.1,SRX10875448,HTP_11_24_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969088,SAMN19168003,simple,527639,wastewater metagenome,HTP_11_24_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,186A8906CF0654633C7B0352829EF330,1E2F79E4EB90881135CE654BC890FB81
SRR14530890,2021-07-13 16:16:14,2021-05-15 08:21:29,16394657,3311720714,16394657,202,942,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530890/SRR14530890.lite.1,SRX10875447,HTP_11_17_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969087,SAMN19168002,simple,527639,wastewater metagenome,HTP_11_17_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,8D6A2DDF304D1275BD3B25DD02E3B07D,3154A7017F869F52E4DE009BF6E2EF24
SRR14530891,2021-07-13 16:16:14,2021-05-15 08:18:27,9626457,1944544314,9626457,202,574,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530891/SRR14530891.lite.1,SRX10875446,HTP_01_03_2021_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969086,SAMN19168001,simple,527639,wastewater metagenome,HTP_01_03_2021_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,8F8C7A1B59892284F1EF34612BABB149,28C10255D472F28C55E4F80774C2539E
SRR14530888,2021-07-13 16:16:14,2021-05-15 08:18:46,11534523,2329973646,11534523,202,663,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530888/SRR14530888.lite.1,SRX10875449,HTP_11_3_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969089,SAMN19168004,simple,527639,wastewater metagenome,HTP_11_3_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,FF19D7F23C6A04ACFA38272E3BD79F10,43FB5F8DF09E06D0F6946805984D65B8
SRR14530887,2021-07-13 16:16:14,2021-05-15 08:18:58,11912829,2406391458,11912829,202,688,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530887/SRR14530887.lite.1,SRX10875450,HTP_12_01_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969090,SAMN19168005,simple,527639,wastewater metagenome,HTP_12_01_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,C9BAA308A09EB568FBCE0E873DB2DDFF,B35DCD4583A6F9899E064BD590C64929
SRR14530886,2021-07-13 16:16:14,2021-05-15 08:18:46,10874604,2196670008,10874604,202,622,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530886/SRR14530886.lite.1,SRX10875451,HTP_12_04_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969091,SAMN19168006,simple,527639,wastewater metagenome,HTP_12_04_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,79F853524AD4CA664A3C05B8479ECE97,34F0F2A47C3C6B00D0D0603192C1E439
SRR14530885,2021-07-13 16:16:14,2021-05-15 08:19:39,11960233,2415967066,11960233,202,689,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530885/SRR14530885.lite.1,SRX10875452,HTP_12_15_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969092,SAMN19168007,simple,527639,wastewater metagenome,HTP_12_15_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,B9F5CB85379518F70DE69CEED21B0B8A,FAF30EA0581E3DED0DF071F96099E40F
SRR14530884,2021-07-13 16:16:14,2021-05-15 08:17:46,8861526,1790028252,8861526,202,514,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530884/SRR14530884.lite.1,SRX10875453,HTP_12_22_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969093,SAMN19168008,simple,527639,wastewater metagenome,HTP_12_22_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,2EB50B03C5C54387869A15C518EBA91E,43183F940B61A1B290EAFDCF16CD8244
SRR14530882,2021-07-13 16:16:14,2021-05-15 08:18:25,11504066,2323821332,11504066,202,764,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530882/SRR14530882.lite.1,SRX10875455,HTP_12_29_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969095,SAMN19168009,simple,527639,wastewater metagenome,HTP_12_29_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,24A6C40D770DD4BB223573AEBF574B8A,2229AE93C24B1EFA822623BF6AEE8046
SRR14530881,2021-07-13 16:16:14,2021-05-15 08:19:27,12904150,2606638300,12904150,202,747,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530881/SRR14530881.lite.1,SRX10875456,HTP_9_22_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969096,SAMN19168010,simple,527639,wastewater metagenome,HTP_9_22_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,1CD6D80D0C364FD0CEF828F7AEA5B885,7E03158C78FFF28AA1F38EC801A56E4A
